wn;HbO2;Hb
560;326.132.000.000.000;53788
562;32620;52276
564;339.156.000.000.000;50572
566;364.952.000.000.000;48828
568;40172;46948
570;44496;45072
572;49172;43340
574;53308;41716
576;55540;40092
578;54728;384.676.000.000.000
580;50104;37020
582;43304;356.764.000.000.000
584;346.396.000.000.000;343.328.000.000.000
586;266.004.000.000.000;328.516.000.000.000
588;197.632.000.000.000;310.752.000.000.000
590;144.008.000.000.000;283.244.000.000.000
592;104.684.000.000.000;25470
594;767.880.000.000.000;225.748.000.000.000
596;568.360.000.000.000;19800
598;450.440.000.000.000;170.584.000.000.000
600;3200;146.772.000.000.000
602;2664;136.224.000.000.000
604;2128;125.676.000.000.000
606;178.920.000.000.000;115.132.000.000.000
608;164.760.000.000.000;104.776.000.000.000
610;1506;944.360.000.000.000
612;136.440.000.000.000;859.120.000.000.000
614;122.280.000.000.000;7762
616;1110;734.480.000.000.000
618;1026;692.720.000.000.000
620;942;650.960.000.000.000
622;858;619.320.000.000.000
624;774;590.680.000.000.000
626;707.600.000.000.000;5620
628;658.800.000.000.000;536.680.000.000.000
630;610;514.880.000.000.000
632;561.200.000.000.000;493.080.000.000.000
634;512.400.000.000.000;473.080.000.000.000
636;478.800.000.000.000;460.240.000.000.000
638;460.400.000.000.000;447.360.000.000.000
640;442;434.520.000.000.000
642;423.600.000.000.000;421.680.000.000.000
644;405.200.000.000.000;408.840.000.000.000
646;390.400.000.000.000;396.508.000.000.000
648;379.200.000.000.000;385.760.000.000.000
650;368;375.012.000.000.000
652;356.800.000.000.000;364.264.000.000.000
654;345.600.000.000.000;353.516.000.000.000
656;335.200.000.000.000;342.768.000.000.000
658;325.600.000.000.000;332.020.000.000.000
660;319.600.000.000.000;322.656.000.000.000
662;314;314.028.000.000.000
664;308.400.000.000.000;305.396.000.000.000
666;302.800.000.000.000;296.768.000.000.000
668;298;288.140.000.000.000
670;294;279.512.000.000.000
672;290;270.884.000.000.000
674;285.600.000.000.000;262.764.000.000.000
676;282;255.440.000.000.000
678;279.200.000.000.000;248.116.000.000.000
680;277.600.000.000.000;240.792.000.000.000
682;276;233.468.000.000.000
684;274.400.000.000.000;226.148.000.000.000
686;272.800.000.000.000;218.824.000.000.000
688;274.400.000.000.000;2115
690;276;205.196.000.000.000
692;277.600.000.000.000;200.048.000.000.000
694;279.200.000.000.000;194.904.000.000.000
696;282;189.756.000.000.000
698;286;184.608.000.000.000
700;290;179.428.000.000.000
702;294;1741
704;298;168.776.000.000.000
706;302.800.000.000.000;163.448.000.000.000
708;308.400.000.000.000;158.352.000.000.000
710;314;154.048.000.000.000
712;319.600.000.000.000;149.740.000.000.000
714;325.200.000.000.000;145.436.000.000.000
716;332;141.132.000.000.000
718;340;136.828.000.000.000
720;348;132.588.000.000.000
722;356;128.516.000.000.000
724;364;124.444.000.000.000
726;372.400.000.000.000;120.368.000.000.000
728;381.200.000.000.000;115.280.000.000.000
730;390;110.220.000.000.000
732;398.800.000.000.000;110.220.000.000.000
734;407.600.000.000.000;110.220.000.000.000
736;418.800.000.000.000;110.176.000.000.000
738;432.400.000.000.000;110.048.000.000.000
740;446;111.588.000.000.000
742;459.600.000.000.000;116.164.000.000.000
744;473.200.000.000.000;120.740.000.000.000
746;487.600.000.000.000;126.604.000.000.000
748;502.800.000.000.000;133.324.000.000.000
750;518;140.524.000.000.000
752;533.200.000.000.000;151.532.000.000.000
754;548.400.000.000.000;154.176.000.000.000
756;562;156.048.000.000.000
758;574;156.048.000.000.000
760;586;154.852.000.000.000
762;598;150.844.000.000.000
764;610;145.956.000.000.000
766;622.800.000.000.000;141.052.000.000.000
768;636.400.000.000.000;136.132.000.000.000
770;650;131.188.000.000.000
772;663.600.000.000.000;126.244.000.000.000
774;677.200.000.000.000;1213
776;689.200.000.000.000;116.356.000.000.000
778;699.600.000.000.000;111.480.000.000.000
780;710;107.544.000.000.000
782;720.400.000.000.000;103.608.000.000.000
784;730.800.000.000.000;996.720.000.000.000
786;740;957.360.000.000.000
788;748;921.800.000.000.000
790;756;890.800.000.000.000
792;764;859.800.000.000.000
794;772;828.800.000.000.000
796;786.400.000.000.000;802.960.000.000.000
798;807.200.000.000.000;782.360.000.000.000
800;816;761.720.000.000.000
802;828;743.840.000.000.000
804;836;737.080.000.000.000
806;844;730.280.000.000.000
808;856;723.520.000.000.000
810;864;717.080.000.000.000
812;872;711.840.000.000.000
814;880;706.600.000.000.000
816;887.200.000.000.000;701.320.000.000.000
818;901.600.000.000.000;696.080.000.000.000
820;916;693.760.000.000.000
822;930.400.000.000.000;693.600.000.000.000
824;944.800.000.000.000;693.480.000.000.000
826;956.400.000.000.000;693.320.000.000.000
828;965.200.000.000.000;693.200.000.000.000
830;974;693.040.000.000.000
832;982.800.000.000.000;692.920.000.000.000
834;991.600.000.000.000;692.760.000.000.000
836;100.120.000.000.000;692.640.000.000.000
838;101.160.000.000.000;692.480.000.000.000
840;1022;692.360.000.000.000
842;103.240.000.000.000;692.200.000.000.000
844;104.280.000.000.000;691.960.000.000.000
846;1050;691.760.000.000.000
848;1054;691.520.000.000.000
850;1058;691.320.000.000.000
852;1062;691.080.000.000.000
854;1066;690.880.000.000.000
856;107.280.000.000.000;690.640.000.000.000
858;108.240.000.000.000;692.440.000.000.000
860;1092;694.320.000.000.000
862;110.160.000.000.000;696.200.000.000.000
864;111.120.000.000.000;698.040.000.000.000
866;111.840.000.000.000;699.920.000.000.000
868;112.320.000.000.000;701.800.000.000.000
870;1128;705.840.000.000.000
872;113.280.000.000.000;709.960.000.000.000
874;113.760.000.000.000;714.080.000.000.000
876;114.280.000.000.000;718.200.000.000.000
878;114.840.000.000.000;722.320.000.000.000
880;1154;726.440.000.000.000
882;115.960.000.000.000;729.840.000.000.000
884;116.520.000.000.000;733.200.000.000.000
886;1170;736.600.000.000.000
888;1174;739.960.000.000.000
890;1178;743.600.000.000.000
892;1182;747.240.000.000.000
894;1186;750.880.000.000.000
896;1190;754.520.000.000.000
898;1194;758.160.000.000.000
900;1198;761.840.000.000.000
902;1202;765.040.000.000.000
904;1206;767.440.000.000.000
906;120.920.000.000.000;769.800.000.000.000
908;121.160.000.000.000;772.160.000.000.000
910;1214;774.560.000.000.000
912;121.640.000.000.000;776.920.000.000.000
914;121.880.000.000.000;778.400.000.000.000
916;122.080.000.000.000;778.040.000.000.000
918;122.240.000.000.000;777.720.000.000.000
920;1224;777.360.000.000.000
922;122.560.000.000.000;777.040.000.000.000
924;122.720.000.000.000;776.640.000.000.000
926;122.680.000.000.000;772.360.000.000.000
928;122.440.000.000.000;768.080.000.000.000
930;1222;763.840.000.000.000
932;121.960.000.000.000;752.280.000.000.000
934;121.720.000.000.000;737.560.000.000.000
936;121.560.000.000.000;722.880.000.000.000
938;121.480.000.000.000;708.160.000.000.000
940;1214;693.440.000.000.000
942;121.320.000.000.000;678.720.000.000.000
944;121.240.000.000.000;660.520.000.000.000
946;121.040.000.000.000;641.080.000.000.000
948;120.720.000.000.000;621.640.000.000.000
950;1204;602.240.000.000.000
952;120.080.000.000.000;583.400.000.000.000
954;119.760.000.000.000;568.920.000.000.000
956;1194;554.480.000.000.000
958;1190;540.040.000.000.000
960;1186;525.560.000.000.000
962;1182;511.120.000.000.000
964;1178;495.360.000.000.000
966;117.320.000.000.000;473.320.000.000.000
968;116.760.000.000.000;451.320.000.000.000
970;1162;429.320.000.000.000
972;115.640.000.000.000;415.280.000.000.000
974;115.080.000.000.000;402.280.000.000.000
976;1144;389.288.000.000.000
978;1136;374.944.000.000.000
980;1128;359.656.000.000.000
982;1120;344.372.000.000.000
984;1112;329.084.000.000.000
986;110.240.000.000.000;313.796.000.000.000
988;109.120.000.000.000;298.508.000.000.000
990;1080;283.220.000.000.000
992;106.880.000.000.000;267.932.000.000.000
994;105.760.000.000.000;252.648.000.000.000
996;104.640.000.000.000;237.360.000.000.000
998;103.520.000.000.000;222.072.000.000.000
1000;1024;206.784.000.000.000
